Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
124.66,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
125.67,176.27,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
126.67,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
127.68,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
128.69,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
129.69,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
130.70,176.27,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
131.70,175.78,0.00,48.82,0.00,179.69,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
132.71,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
133.71,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
134.72,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
135.72,176.27,0.00,48.82,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
136.73,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
137.73,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
138.74,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
139.75,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
140.75,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
141.76,176.27,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
142.76,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
143.77,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
144.77,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
145.78,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
146.78,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
147.79,177.25,0.00,49.35,0.00,181.64,0.00,183.70,0.00,0.00,0.00,208.40,0.00,0,0,0,0
148.79,176.76,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
149.80,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
150.80,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
151.81,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
152.82,176.27,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
153.82,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
154.83,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
155.83,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
156.84,176.27,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
157.84,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
158.85,176.76,0.00,49.17,0.00,181.15,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
159.85,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
160.86,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
161.86,176.76,0.00,49.17,0.00,181.15,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
162.87,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
163.87,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
164.88,176.27,0.00,48.82,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
165.88,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
166.89,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
167.90,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
168.90,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
169.91,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
170.91,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
171.92,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
172.92,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
173.93,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
174.93,176.27,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
175.94,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
176.95,176.27,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
177.95,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
178.96,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
179.96,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
180.97,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
181.97,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
182.98,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
183.98,176.27,0.00,49.00,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
184.99,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
185.99,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
187.00,176.27,0.00,48.82,0.00,180.18,0.00,180.45,0.00,0.00,0.00,206.77,0.00,0,0,0,0
188.00,176.27,0.00,49.00,0.00,180.18,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
189.01,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
190.02,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.96,0.00,0,0,0,0
191.02,176.27,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
192.03,176.76,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
193.03,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
194.04,176.27,0.00,49.00,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
195.04,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
196.05,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
197.05,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,206.77,0.00,0,0,0,0
198.06,175.78,0.00,48.82,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.96,0.00,0,0,0,0
